Area,Parent Task,Task,Dataset,Best method name,,earliest,latest,earliest scaled,earliest  Percentile ( low/ high),latest scaled,latest  Percentile ( low/ high),Bucket
Computer Vision,Image Retrieval,Image Retrieval,Par106k,DELF+FT+ATT+DIR+QE,,91,93,0.48,Low,0.38,Low,1
Computer Vision,Image Retrieval,Image Retrieval,Par6k,DELF+FT+ATT+DIR+QE,,94,96,0.51,Low,0.42,Low,1
Computer Vision,Image Retrieval,Image Retrieval,street2shop - topwear,Ranknet,,9498,9498,95.63,High,95.63,High,4
Computer Vision,Action Recognition,Action Recognition,UCF101,Two-Stream I3D,,9340,9340,94.03,High,94.03,High,4
Computer Vision,Action Recognition,Action Recognition,HMDB51,Two-Stream I3D,,8090,8090,81.39,High,81.37,High,4
Computer Vision,Visual Question Answering,Visual Question Answering,VQA v2,"Image features from bottom-up attention, adaptive K, ensemble",,62,70,0.18,Low,0.15,Low,1
Computer Vision,Facial Recognition and Modelling,Face Recognition,Olivetti Faces 5 Image,RMDL,,9500,9500,95.65,High,95.65,High,4
Computer Vision,Facial Recognition and Modelling,Face Verification,Labeled Faces in the Wild,"ArcFace + MS1MV2 + R100, ",,99,100,0.56,Low,0.46,Low,1
Computer Vision,Facial Recognition and Modelling,Face Verification,YouTube Faces DB,"SeqFace, 1 ResNet-64",,93,9812,0.50,Low,98.81,High,2
Computer Vision,Facial Recognition and Modelling,Face Verification,MegaFace,ArcFace + MS1MV2 + R100 + R,,86,98,0.42,Low,0.44,Low,1
Computer Vision,Facial Recognition and Modelling,Facial Expression Recognition, Static Facial Expressions in the Wild,Covariance Pooling,,58,58,0.14,Low,0.03,Low,1
Computer Vision,Facial Recognition and Modelling,Facial Expression Recognition,Real-World Affective Faces,Covariance Pooling,,87,87,0.43,Low,0.32,Low,1
Computer Vision,Facial Recognition and Modelling,Facial Expression Recognition,Cohn-Kanade,Sequential forward selection,,89,89,0.46,Low,0.34,Low,1
Computer Vision,Facial Recognition and Modelling,Facial Expression Recognition,MMI,DeXpression,,99,99,0.56,Low,0.45,Low,1
Computer Vision,Facial Recognition and Modelling,Face Identification,MegaFace,ArcFace + MS1MV2 + R100 + R,,70,98,0.26,Low,0.44,Low,1
