Area,Parent Task,Task,Dataset,Best method name,Primary metric,Primary metric - is higher better ?,Earliest reported value,Latest reported value,Earliest reported value scaled,earliest  Percentile ( low/ high),Latest reported value scaled,Latest Percentile  ( low/ high),Bucket
Computer Vision,Semantic Segmentation,Semantic Segmentation,PASCAL VOC 2012,DeepLabv3+ (Xception-JFT),Mean IoU,TRUE,0.7,0.89,0.69,Low,0.35,low,1
Computer Vision,Semantic Segmentation,Semantic Segmentation,Cityscapes,DeepLabv3+ (Xception-JFT),Mean IoU,TRUE,0.63,0.82,0.62,Low,0.32,low,1
Computer Vision,Semantic Segmentation,Semantic Segmentation,PASCAL Context,Joint Pyramid Upsampling + EncNet,mIoU,TRUE,37.8,53.1,38.06,High,24.1,High,4
Computer Vision,Semantic Segmentation,Semantic Segmentation,ADE20K,PSPNet,Validation mIoU,TRUE,29.39,44.94,29.59,High,20.39,High,4
Computer Vision,Semantic Segmentation,Semantic Segmentation,CamVid,PSPNet,Mean IoU,TRUE,0.62,0.69,0.61,Low,0.26,low,1
Computer Vision,Semantic Segmentation,Semantic Segmentation,ShapeNet,SGPN,Mean IoU,TRUE,0.85,0.86,0.85,Low,0.34,low,1
Computer Vision,Semantic Segmentation,Semantic Segmentation,NYU Depth v2,Dilated FCN-2s RGB,Mean IoU,TRUE,0.32,0.32,0.31,Low,0.1,low,1
Computer Vision,Image Classification,Image Classification,CIFAR-10,GPIPE + transfer learning,Percentage correct,TRUE,88.8,99,89.42,High,44.97,High,4
Computer Vision,Image Classification,Image Classification,CIFAR-100,GPIPE,Percentage correct,TRUE,57.5,91.3,57.9,High,41.47,High,4
Computer Vision,Image Classification,Image Classification,ImageNet,GPIPE,Top 1 Accuracy,TRUE,0.7,0.84,0.69,Low,0.33,low,1
Computer Vision,Image Classification,Image Classification,STL-10,IIC,Percentage correct,TRUE,70.1,88.8,70.59,High,40.33,High,4
Computer Vision,Image Classification,Image Classification,MSRC-21 (per-class),Large FC CRF,Percentage correct,TRUE,,,,Low,,low,1
Computer Vision,Image Classification,Image Classification,MSRC-21 (per-pixel),HCRF+CO,Percentage correct,TRUE,,,,Low,,low,1
Computer Vision,Image Classification,Image Classification,iNaturalist,IncResNetV2 SE,Top 1 Accuracy,TRUE,0.67,0.67,0.66,Low,0.25,low,1
Computer Vision,Object Detection,Object Detection,COCO,SNIPER,Bounding Box AP,TRUE,34.9,47.6,35.14,High,21.6,High,4
Computer Vision,Object Detection,Object Detection,PASCAL VOC 2007,SNIPER,MAP,TRUE,0.82,0.87,0.82,Low,0.35,low,1
Computer Vision,Object Detection,Object Detection,ImageNet Detection,Inception V1,MAP,TRUE,0.24,0.44,0.23,Low,0.15,low,1
Computer Vision,Image Generation,Image Generation,CIFAR-10,PGGAN,Inception score,TRUE,5.34,8.8,5.37,Low,3.95,low,1
Computer Vision,Pose Estimation,Pose Estimation,MPII Human Pose,HRNet-32,PCKh-0.5,TRUE,0.82,0.92,0.82,Low,0.37,low,1
Computer Vision,Pose Estimation,Pose Estimation,Leeds Sports Poses,Pyramid Residual Modules (PRMs),PCK,TRUE,0.91,0.94,0.91,Low,0.38,low,1
Computer Vision,Pose Estimation,Pose Estimation,FLIC Elbows,Stacked Hourglass Networks,PCK@0.2,TRUE,0.98,0.99,0.98,Low,0.4,low,1
Computer Vision,Pose Estimation,Pose Estimation,FLIC Wrists,Stacked Hourglass Networks,PCK@0.2,TRUE,0.95,0.97,0.95,Low,0.39,low,1
Computer Vision,Pose Estimation,Pose Estimation,DensePose-COCO,Parsing R-CNN + ResNext101,AP,TRUE,55.8,61.6,56.19,High,27.96,High,4
Computer Vision,Pose Estimation,Pose Estimation,ITOP top-view,V2V-PoseNet,Mean mAP,TRUE,75.5,83.44,76.03,High,37.9,High,4
Computer Vision,Pose Estimation,Pose Estimation,COCO,HRNet-48,Mean mAP,TRUE,73.7,77,74.22,High,34.97,High,4
Computer Vision,Pose Estimation,Pose Estimation, ITOP front-view,V2V-PoseNet,Mean mAP,TRUE,77.4,88.74,77.94,High,40.31,High,4
Computer Vision,Super Resolution,Super Resolution,Set5-2x,FALSR-A ,PSNR,TRUE,37.82,37.82,38.08,High,17.15,High,4
Computer Vision,Image Retrieval,Image Retrieval,Par106k,DELF+FT+ATT+DIR+QE,Accuracy,TRUE,0.91,0.93,0.91,Low,0.37,low,1
Computer Vision,Image Retrieval,Image Retrieval,Oxf105k,DELF+FT+ATT+DIR+QE,MAP,TRUE,0.88,0.89,0.88,Low,0.35,low,1
Computer Vision,Image Retrieval,Image Retrieval,Par6k,DELF+FT+ATT+DIR+QE,Accuracy,TRUE,0.94,0.96,0.94,Low,0.39,low,1
Computer Vision,Image Retrieval,Image Retrieval,Oxf5k,DELF+FT+ATT+DIR+QE,MAP,TRUE,0.89,0.9,0.89,Low,0.36,low,1
Computer Vision,Image Retrieval,Image Retrieval,street2shop - topwear,Ranknet,Accuracy,TRUE,94.98,94.98,95.65,High,43.14,High,4
Computer Vision,Image Retrieval,Image Retrieval,INRIA Holidays,MultiGrain R50 @ 800,Mean mAP,TRUE,0.93,0.93,0.93,Low,0.37,low,1
Computer Vision,Image Retrieval,Image Retrieval,Stanford Cars,ABE-8-512,Recall@8,TRUE,96.1,96.1,96.78,High,43.65,High,4
Computer Vision,Action Recognition,Action Recognition,UCF101,Two-Stream I3D,Accuracy,TRUE,93.4,93.4,94.06,High,42.43,High,4
Computer Vision,Action Recognition,Action Recognition,HMDB51,Two-Stream I3D,Accuracy,TRUE,80.9,80.9,81.47,High,36.74,High,4
Computer Vision,Visual Question Answering,Visual Question Answering,COCO Visual Question Answering (VQA) real images 1.0 open ended,MCB 7 att.,Percentage correct,TRUE,58.2,66.5,58.61,High,30.19,High,4
Computer Vision,Visual Question Answering,Visual Question Answering,VQA v2,"Image features from bottom-up attention, adaptive K, ensemble",Accuracy,TRUE,0.62,0.7,0.61,Low,0.27,low,1
Computer Vision,Visual Question Answering,Visual Question Answering,COCO Visual Question Answering (VQA) real images 1.0 multiple choice,MCB 7 att.,Percentage correct,TRUE,63.1,70.1,63.54,High,31.83,High,4
Computer Vision,Visual Question Answering,Visual Question Answering,COCO Visual Question Answering (VQA) real images 2.0 open ended,Up-Down,Percentage correct,TRUE,68.16,70.34,68.64,High,31.94,High,4
Computer Vision,Visual Question Answering,Visual Question Answering,COCO Visual Question Answering (VQA) abstract 1.0 multiple choice,Graph VQA,Percentage correct,TRUE,71.18,74.37,71.68,High,33.77,High,4
Computer Vision,Visual Question Answering,Visual Question Answering,COCO Visual Question Answering (VQA) abstract images 1.0 open ended,Graph VQA,Percentage correct,TRUE,69.73,70.42,70.22,High,31.98,High,4
Computer Vision,Visual Question Answering,Visual Question Answering,Visual7W,CMN,Percentage correct,TRUE,62.2,72.53,62.63,High,32.93,High,4
Computer Vision,Visual Question Answering,Visual Question Answering,Visual Genome (subjects),CMN,Percentage correct,TRUE,44.24,44.24,44.55,High,20.07,High,4
Computer Vision,Visual Question Answering,Visual Question Answering,Visual Genome (pairs),CMN,Percentage correct,TRUE,28.52,28.52,28.71,High,12.92,High,4
Computer Vision,Super Resolution,Image Super-Resolution,Set5 - 4x upscaling,PFF,PSNR,TRUE,30.49,32.74,30.7,High,14.84,High,4
Computer Vision,Super Resolution,Image Super-Resolution,Set14 - 4x upscaling,SRGAN + Residual-in-Residual Dense Block,PSNR,TRUE,27.5,28.99,27.69,High,13.13,High,4
Computer Vision,Super Resolution,Image Super-Resolution,BSD100 - 4x upscaling,SRGAN + Residual-in-Residual Dense Block,PSNR,TRUE,26.9,27.85,27.08,High,12.62,High,4
Computer Vision,Super Resolution,Image Super-Resolution,Urban100 - 4x upscaling,SRGAN + Residual-in-Residual Dense Block,PSNR,TRUE,24.52,27.03,24.69,High,12.24,High,4
Computer Vision,Super Resolution,Image Super-Resolution,Manga109 - 4x upscaling,SRGAN + Residual-in-Residual Dense Block,SSIM,TRUE,0.86,0.92,0.86,Low,0.37,low,1
Computer Vision,Person Re-Identification,Person Re-Identification,Market-1501,Parameter-Free Spatial Attention,MAP,TRUE,22.22,91.7,22.37,High,41.65,High,4
Computer Vision,Person Re-Identification,Person Re-Identification,DukeMTMC-reID,Parameter-Free Spatial Attention,MAP,TRUE,17.04,85.9,17.15,High,39.01,High,4
Computer Vision,Instance Segmentation,Instance Segmentation,COCO,PANet,Average Precision,TRUE,0.25,0.42,0.24,Low,0.14,low,1
Computer Vision,Instance Segmentation,Instance Segmentation,NYU Depth v2,SGPN-CNN,MAP,TRUE,43.5,43.5,43.8,High,19.73,High,4
Computer Vision,Facial Recognition and Modelling,Face Recognition,Olivetti Faces 5 Image,RMDL,Accuracy,TRUE,95,95,95.67,High,43.15,High,4
Computer Vision,Facial Recognition and Modelling,Face Recognition,IJB-A,SE-GV-3,TAR @ FAR=0.01,TRUE,0.97,0.97,0.97,Low,0.39,low,1
Computer Vision,Facial Recognition and Modelling,Face Recognition,IJB-B,"GhostVLAD, SE-GV-3",TAR @ FAR=0.01,TRUE,0.96,0.96,0.96,Low,0.39,low,1
Computer Vision,Image Generation,Image-to-Image Translation,Cityscapes Labels-to-Photo,pix2pix,Class IOU,TRUE,0.02,0.18,0.01,Low,0.03,low,1
Computer Vision,Image Generation,Image-to-Image Translation,Cityscapes Photo-to-Labels,pix2pix,Class IOU,TRUE,0.07,0.32,0.06,Low,0.1,low,1
Computer Vision,Image Generation,Image-to-Image Translation,ADE20K-Outdoor Labels-to-Photos,SPADE,mIoU,TRUE,16.5,30.8,16.61,High,13.96,High,4
Computer Vision,Image Generation,Image-to-Image Translation,COCO-Stuff Labels-to-Photos,SPADE,mIoU,TRUE,23.7,37.4,23.86,High,16.96,High,4
Computer Vision,Image Generation,Image-to-Image Translation,ADE20K Labels-to-Photos,SPADE,mIoU,TRUE,22.4,38.5,22.55,High,17.46,High,4
Computer Vision,Image Generation,Image-to-Image Translation,Aerial-to-Map,cGAN,Class IOU,TRUE,0.26,0.26,0.25,Low,0.07,low,1
Computer Vision,Image Generation,Image-to-Image Translation,SYNTHIA-to-Cityscapes,superpixel + color constancy,mIoU,TRUE,20.2,29.7,20.33,High,13.46,High,4
Computer Vision,Image Generation,Image-to-Image Translation,SYNTHIA Fall-to-Winter,CyCADA,mIoU,TRUE,59.6,63.3,60.02,High,28.74,High,4
Computer Vision,Denoising,Image Denoising,BSD68 sigma50,MWCNN,PSNR,TRUE,26.23,26.53,26.41,High,12.02,High,4
Computer Vision,Denoising,Image Denoising,BSD68 sigma25,NLRN,PSNR,TRUE,29.23,29.41,29.43,High,13.32,High,4
Computer Vision,Denoising,Image Denoising,Urban100 sigma50,Residual Dense Network +,PSNR,TRUE,26.32,29.38,26.5,High,13.31,High,4
Computer Vision,Denoising,Image Denoising,BSD68 sigma15,NLRN,PSNR,TRUE,31.73,31.88,31.95,High,14.45,High,4
Computer Vision,Denoising,Image Denoising,Urban100 sigma70,Residual Dense Network +,PSNR,TRUE,24.63,27.74,24.8,High,12.57,High,4
Computer Vision,Denoising,Image Denoising,BSD68 sigma70,Residual Dense Network +,PSNR,TRUE,26.56,26.88,26.74,High,12.17,High,4
Computer Vision,Denoising,Image Denoising,BSD68 sigma30,Residual Dense Network +,PSNR,TRUE,30.4,30.7,30.61,High,13.91,High,4
Computer Vision,Denoising,Image Denoising,Urban100 sigma30,Residual Dense Network +,PSNR,TRUE,30.19,31.78,30.4,High,14.4,High,4
Computer Vision,Denoising,Image Denoising,BSD68 sigma10,Residual Dense Network +,PSNR,TRUE,36.31,36.49,36.56,High,16.54,High,4
Computer Vision,Denoising,Image Denoising,BSD200 sigma50,RED30,PSNR,TRUE,25.75,25.75,25.92,High,11.66,High,4
Computer Vision,Denoising,Image Denoising,BSD200 sigma30,RED30,PSNR,TRUE,27.95,27.95,28.14,High,12.66,High,4
Computer Vision,Denoising,Image Denoising,BSD200 sigma70,RED30,PSNR,TRUE,24.37,24.37,24.53,High,11.03,High,4
Computer Vision,Denoising,Image Denoising,BSD200 sigma10,RED30,PSNR,TRUE,33.63,33.63,33.86,High,15.24,High,4
Computer Vision,Facial Recognition and Modelling,Face Detection,WIDER Face (Hard),DSFD,AP,TRUE,0.29,0.9,0.28,Low,0.36,low,1
Computer Vision,Facial Recognition and Modelling,Face Detection,WIDER Face (Easy),DSFD,AP,TRUE,0.7,0.96,0.69,Low,0.39,low,1
Computer Vision,Facial Recognition and Modelling,Face Detection,WIDER Face (Medium),DSFD,AP,TRUE,0.59,0.95,0.58,Low,0.38,low,1
Computer Vision,Facial Recognition and Modelling,Face Detection,Annotated Faces in the Wild,SRN,AP,TRUE,0.97,1,0.97,Low,0.4,low,1
Computer Vision,Facial Recognition and Modelling,Face Detection,FDDB,DSFD,AP,TRUE,0.86,0.99,0.86,Low,0.4,low,1
Computer Vision,Facial Recognition and Modelling,Face Detection,PASCAL Face,SRN,AP,TRUE,0.9,0.99,0.9,Low,0.4,low,1
Computer Vision,Object Localization,Object Localization,KITTI Cyclists Easy,Frustum PointNets,AP,TRUE,0.67,0.75,0.66,Low,0.29,low,1
Computer Vision,Object Localization,Object Localization,KITTI Pedestrians Easy,Frustum PointNets,AP,TRUE,0.46,0.58,0.45,Low,0.21,low,1
Computer Vision,Object Localization,Object Localization,KITTI Cars Moderate,Frustum PointNets,AP,TRUE,0.79,0.84,0.79,Low,0.33,low,1
Computer Vision,Object Localization,Object Localization,KITTI Cyclists Hard,Frustum PointNets,AP,TRUE,0.51,0.55,0.5,Low,0.2,low,1
Computer Vision,Object Localization,Object Localization,KITTI Cyclists Moderate,Frustum PointNets,AP,TRUE,0.55,0.62,0.54,Low,0.23,low,1
Computer Vision,Object Localization,Object Localization,KITTI Cars Hard,VoxelNet,AP,TRUE,0.77,0.77,0.77,Low,0.3,low,1
Computer Vision,Object Localization,Object Localization,KITTI Cars Easy,VoxelNet,AP,TRUE,0.89,0.89,0.89,Low,0.35,low,1
Computer Vision,Object Localization,Object Localization,KITTI Pedestrians Hard,Frustum PointNets,AP,TRUE,0.38,0.47,0.37,Low,0.16,low,1
Computer Vision,Object Localization,Object Localization,KITTI Pedestrians Moderate,Frustum PointNets,AP,TRUE,0.41,0.5,0.4,Low,0.18,low,1
Computer Vision,3D,3D Reconstruction,Scan2CAD,Scan2CAD,Average Accuracy,TRUE,0.1,0.32,0.09,Low,0.1,low,1
Computer Vision,Facial Recognition and Modelling,Face Verification,Labeled Faces in the Wild,"ArcFace + MS1MV2 + R100, ",Accuracy,TRUE,0.99,1,0.99,Low,0.4,low,1
Computer Vision,Facial Recognition and Modelling,Face Verification,IJB-A,Dual-Agent GANs,TAR @ FAR=0.01,TRUE,0.73,0.98,0.73,Low,0.4,low,1
Computer Vision,Facial Recognition and Modelling,Face Verification,YouTube Faces DB,"SeqFace, 1 ResNet-64",Accuracy,TRUE,0.93,98.12,0.93,Low,44.57,High,2
Computer Vision,Facial Recognition and Modelling,Face Verification,MegaFace,ArcFace + MS1MV2 + R100 + R,Accuracy,TRUE,0.86,0.98,0.86,Low,0.4,low,1
Computer Vision,Facial Recognition and Modelling,Face Verification,IJB-C,AIM,TAR @ FAR=0.01,TRUE,0.67,0.94,0.66,Low,0.38,low,1
Computer Vision,Facial Recognition and Modelling,Face Verification,IJB-B,FPN,TAR @ FAR=0.01,TRUE,0.97,0.97,0.97,Low,0.39,low,1
Computer Vision,Image Generation,Conditional Image Generation,CIFAR-10,Splitting GAN,Inception score,TRUE,6.58,8.87,6.62,Low,3.98,low,1
Computer Vision,Image Generation,Conditional Image Generation,ImageNet 128x128,BigGAN-deep,Inception score,TRUE,28.5,166.5,28.69,High,75.67,High,4
Computer Vision,Scene Text Detection,Scene Text Detection,IC15,FOTS,F-Measure,TRUE,0.76,0.88,0.76,Low,0.35,low,1
Computer Vision,Scene Text Detection,Scene Text Detection,IC17-MLT,PSENet-1s,F-Measure,TRUE,0.67,0.72,0.66,Low,0.28,low,1
Computer Vision,Object Detection,3D Object Detection,KITTI Cars Moderate,PointRCNN,AP,TRUE,0.65,0.75,0.64,Low,0.29,low,1
Computer Vision,Object Detection,3D Object Detection,KITTI Cars Hard,PointRCNN,AP,TRUE,0.58,0.68,0.57,Low,0.26,low,1
Computer Vision,Object Detection,3D Object Detection,KITTI Cars Easy,PC-CNN-V2,AP,TRUE,0.77,0.84,0.77,Low,0.33,low,1
Computer Vision,Object Detection,3D Object Detection,KITTI Pedestrians Moderate,Frustum PointNets,AP,TRUE,0.34,0.45,0.33,Low,0.15,low,1
Computer Vision,Object Detection,3D Object Detection,KITTI Cyclists Moderate,PointPillars,AP,TRUE,0.48,0.59,0.47,Low,0.22,low,1
Computer Vision,Object Detection,3D Object Detection,KITTI Cyclists Easy,Frustum PointNets,AP,TRUE,0.61,0.72,0.6,Low,0.28,low,1
Computer Vision,Object Detection,3D Object Detection,KITTI Pedestrians Hard,IPOD,AP,TRUE,0.32,0.42,0.31,Low,0.14,low,1
Computer Vision,Object Detection,3D Object Detection,KITTI Pedestrians Easy,IPOD,AP,TRUE,0.39,0.57,0.38,Low,0.21,low,1
Computer Vision,Object Detection,3D Object Detection,KITTI Cyclists Hard,Frustum PointNets,AP,TRUE,0.44,0.5,0.43,Low,0.18,low,1
Computer Vision,Object Detection,3D Object Detection,SUN-RGBD,Frustum PointNets,MAP,TRUE,0.54,0.54,0.53,Low,0.2,low,1
Computer Vision,Object Detection,3D Object Detection,NYU Depth v2,SGPN-CNN,MAP,TRUE,41.3,41.3,41.59,High,18.73,High,4
Computer Vision,Semantic Segmentation,Real-Time Semantic Segmentation,Cityscapes,PSPNet,mIoU,TRUE,0.63,0.81,0.62,Low,0.32,low,1
Computer Vision,Semantic Segmentation,Real-Time Semantic Segmentation,CamVid,PSPNet,mIoU,TRUE,0.62,0.69,0.61,Low,0.26,low,1
Computer Vision,Image-to-Image Translation,Unsupervised Image-To-Image Translation,SVNH-to-MNIST,CyCADA pixel+feat,Classification Accuracy,TRUE,0.74,0.9,0.74,Low,0.36,low,1
Computer Vision,Object Detection,Real-Time Object Detection,PASCAL VOC 2007,YOLO,FPS,TRUE,7,46,7.04,Low,20.87,High,2
Computer Vision,Object Detection,Real-Time Object Detection,COCO,YOLOv3-tiny,FPS,TRUE,40,220,40.28,High,100,High,4
Computer Vision,Facial Recognition and Modelling,Facial Expression Recognition, Static Facial Expressions in the Wild,Covariance Pooling,Accuracy,TRUE,0.58,0.58,0.57,Low,0.21,low,1
Computer Vision,Facial Recognition and Modelling,Facial Expression Recognition,Real-World Affective Faces,Covariance Pooling,Accuracy,TRUE,0.87,0.87,0.87,Low,0.35,low,1
Computer Vision,Facial Recognition and Modelling,Facial Expression Recognition,Cohn-Kanade,Sequential forward selection,Accuracy,TRUE,0.89,0.89,0.89,Low,0.35,low,1
Computer Vision,Facial Recognition and Modelling,Facial Expression Recognition,MMI,DeXpression,Accuracy,TRUE,0.99,0.99,0.99,Low,0.4,low,1
Computer Vision,Pose Estimation,Multi-Person Pose Estimation,MPII Multi-Person,Regional Multi-Person Pose Estimation,AP,TRUE,0.59,0.82,0.58,Low,0.32,low,1
Computer Vision,Pose Estimation,Multi-Person Pose Estimation,WAF,DeeperCut,AOP,TRUE,0.87,0.88,0.87,Low,0.35,low,1
Computer Vision,Pose Estimation,Multi-Person Pose Estimation,COCO,HRNet-48,AP,TRUE,0.7,0.77,0.69,Low,0.3,low,1
Computer Vision,Edge Detection,Edge Detection,SBD,CASENet,Maximum F-measure,TRUE,0.71,0.71,0.71,Low,0.27,low,1
Computer Vision,Edge Detection,Edge Detection,Cityscapes,CASENet,AP,TRUE,0.71,0.71,0.71,Low,0.27,low,1
Computer Vision,Video,Visual Object Tracking,VOT2017/18,SiamMask,Expected Average Overlap (EAO),TRUE,0.26,0.38,0.25,Low,0.12,low,1
Computer Vision,Pose Estimation,Keypoint Detection,COCO,HRNet-48,Validation AP,TRUE,60.5,76.3,60.92,High,34.65,High,4
Computer Vision,Pose Estimation,Keypoint Detection, Pascal3D+,ConvNet + deformable shape model,Mean PCK,TRUE,48.5,82.5,48.84,High,37.47,High,4
Computer Vision,Facial Recognition and Modelling,Face Identification,MegaFace,ArcFace + MS1MV2 + R100 + R,Accuracy,TRUE,0.7,0.98,0.69,Low,0.4,low,1
Computer Vision,Facial Recognition and Modelling,Face Identification,IJB-A,Deep Residual Equivariant Mapping,Accuracy,TRUE,0.91,0.95,0.91,Low,0.38,low,1
Computer Vision,Facial Recognition and Modelling,Face Identification,IJB-B,FPN,Accuracy,TRUE,0.91,0.91,0.91,Low,0.36,low,1
Computer Vision,Object Reconstruction,3D Object Reconstruction,Data3Dâ€šÃ Ã­R2N2,MVD,Avg F1,TRUE,39.01,66.39,39.28,High,30.14,High,4
Computer Vision,Image Classification,Few-Shot Image Classification,Mini-ImageNet - 5-Shot Learning,MetaOptNet-SVM,Accuracy,TRUE,0.55,0.79,0.54,Low,0.31,low,1
