Area,Parent Task,Task,Dataset,Best method name,Primary metric,earliest reported value,latest reported value,earliest reported value scaled,earliest  Percentile ( low/ high),latest reported  value scaled,Latest Percentile  ( low/ high),Bucket
Natural Language Processing,Language Modelling,Language Modelling,Penn Treebank (Word Level),GPT-2,Test perplexity,65.4,35.76,19.4,Low,10.75,Low,1
Natural Language Processing,Language Modelling,Language Modelling,One Billion Word,Transformer-XL Large,PPL,51.3,21.8,15.14,Low,6.47,Low,1
Natural Language Processing,Language Modelling,Language Modelling,WikiText-103,GPT-2,Test perplexity,40.8,17.48,11.96,Low,5.15,Low,1
Natural Language Processing,Language Modelling,Language Modelling,WikiText-2,GPT-2,Test perplexity,52,18.34,15.35,Low,5.41,Low,1
Natural Language Processing,Language Modelling,Language Modelling,Hutter Prize,24-layer Transformer-XL,Bit per Character (BPC),1.27,0.99,0.02,Low,0.09,Low,1
Natural Language Processing,Language Modelling,Language Modelling,enwiki8,GPT-2,Bit per Character (BPC),1.27,0.93,0.02,Low,0.07,Low,1
Natural Language Processing,Language Modelling,Language Modelling,Text8,GPT-2,Bit per Character (BPC),1.36,0.98,0.04,Low,0.09,Low,1
Natural Language Processing,Language Modelling,Language Modelling,Penn Treebank (Character Level),Trellis Network,Bit per Character (BPC),1.219,1.158,0,Low,0.14,Low,1
Natural Language Processing,Question Answering,Question Answering,AI2 Kaggle Dataset,IR Baseline,P@1,47.2,47.2,13.9,Low,14.26,Low,1
Natural Language Processing,Question Answering,Question Answering,COMPLEXQUESTIONS,WebQA,F1,53.6,53.6,15.83,Low,16.23,Low,1
Natural Language Processing,Sentiment Analysis,Sentiment Analysis,Yelp Binary classification,ULMFiT,Error,4.88,2.16,1.11,Low,0.45,Low,1
Natural Language Processing,Sentiment Analysis,Sentiment Analysis,Yelp Fine-grained classification,ULMFiT,Error,37.95,29.98,11.1,Low,8.98,Low,1
Natural Language Processing,Text Classification,Text Classification,AG News,L MIXED,Error,9.51,4.95,2.51,Low,1.3,Low,1
