Area,Parent Task,Task,Dataset,Best method name,Primary metric,Primary metric - is higher better?,Metric first reported value,Metric SOTA value in 2013,Metric SOTA value in 2014,Metric SOTA value in 2015,Metric SOTA value in 2016,Metric SOTA value in 2017,Metric SOTA value in 2018,Metric SOTA value in 2019,Papers all time,Papers in 2013,Papers in 2014,Papers in 2015,Papers in 2016,Papers in 2017,Papers in 2018,Papers in 2019,Papers with code all time,Papers with code in 2013,Papers with code in 2014,Papers with code in 2015,Papers with code in 2016,Papers with code in 2017,Papers with code in 2018,Papers with code in 2019
Computer Vision,Semantic Segmentation,Semantic Segmentation,PASCAL VOC 2012,DeepLabv3+ (Xception-JFT),Mean IoU,TRUE,69.80%,,,69.80%,85.40%,86.90%,89.00%,89.00%,19,0,0,2,7,6,4,0,19,0,0,2,7,6,4,0
Computer Vision,Semantic Segmentation,Semantic Segmentation,Cityscapes,DeepLabv3+ (Xception-JFT),Mean IoU,TRUE,63.10%,,63.10%,67.10%,81.20%,82.00%,82.10%,82.10%,18,0,1,3,5,2,6,1,18,0,1,3,5,2,6,1
Computer Vision,Semantic Segmentation,Semantic Segmentation,PASCAL Context,Joint Pyramid Upsampling + EncNet,mIoU,TRUE,37.8,,37.8,43.3,47.3,47.3,51.7,53.1,12,0,1,5,3,0,1,2,8,0,1,2,2,0,1,2
Computer Vision,Semantic Segmentation,Semantic Segmentation,ADE20K,PSPNet,Validation mIoU,TRUE,29.39,,29.39,32.31,44.94,44.94,44.94,44.94,7,0,1,2,2,0,1,1,7,0,1,2,2,0,1,1
Computer Vision,Semantic Segmentation,Semantic Segmentation,CamVid,PSPNet,Mean IoU,TRUE,61.60%,,61.60%,65.30%,69.10%,69.10%,69.10%,69.10%,7,0,1,3,2,0,1,0,7,0,1,3,2,0,1,0
Computer Vision,Semantic Segmentation,Semantic Segmentation,ShapeNet,SGPN,Mean IoU,TRUE,84.60%,,,,,85.80%,85.80%,85.80%,2,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0
Computer Vision,Semantic Segmentation,Semantic Segmentation,NYU Depth v2,Dilated FCN-2s RGB,Mean IoU,TRUE,32.30%,,,,,32.30%,32.30%,32.30%,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
Computer Vision,Image Classification,Image Classification,CIFAR-10,GPIPE + transfer learning,Percentage correct,TRUE,88.8,91.2,96.5,96.5,96.69,97.88,99,99,57,4,10,17,8,7,5,1,40,3,7,9,7,6,5,1
Computer Vision,Image Classification,Image Classification,MNIST,RMDL,Percentage error,FALSE,0.2,0.2,0.2,0.2,0.2,0.2,0.18,0.18,27,2,7,12,2,1,1,1,13,2,4,4,1,0,1,0
Computer Vision,Image Classification,Image Classification,CIFAR-100,GPIPE,Percentage correct,TRUE,57.5,64.3,75.7,75.7,82.62,84.59,91.3,91.3,39,5,7,12,6,6,3,0,28,3,6,7,5,4,3,0
