Area,Parent Task,Task,Dataset,Best method name,Primary metric,Primary metric - is higher better?,Metric first reported value,2013,2014,2015,2016,2017,2018,2019
Computer Vision,Semantic Segmentation,Semantic Segmentation,PASCAL VOC 2012,DeepLabv3+ (Xception-JFT),Mean IoU,TRUE,0.70,,,0.70,0.85,0.87,0.89,0.89
Computer Vision,Semantic Segmentation,Semantic Segmentation,Cityscapes,DeepLabv3+ (Xception-JFT),Mean IoU,TRUE,0.63,,0.63,0.67,0.81,0.82,0.82,0.82
Computer Vision,Semantic Segmentation,Semantic Segmentation,PASCAL Context,Joint Pyramid Upsampling + EncNet,mIoU,TRUE,37.80,,37.80,43.30,47.30,47.30,51.70,53.10
Computer Vision,Semantic Segmentation,Semantic Segmentation,ADE20K,PSPNet,Validation mIoU,TRUE,29.39,,29.39,32.31,44.94,44.94,44.94,44.94
Computer Vision,Semantic Segmentation,Semantic Segmentation,CamVid,PSPNet,Mean IoU,TRUE,0.62,,0.62,0.65,0.69,0.69,0.69,0.69
Computer Vision,Semantic Segmentation,Semantic Segmentation,ShapeNet,SGPN,Mean IoU,TRUE,0.85,,,,,0.86,0.86,0.86
Computer Vision,Semantic Segmentation,Semantic Segmentation,NYU Depth v2,Dilated FCN-2s RGB,Mean IoU,TRUE,0.32,,,,,0.32,0.32,0.32
Computer Vision,Image Classification,Image Classification,CIFAR-10,GPIPE + transfer learning,Percentage correct,TRUE,88.80,91.20,96.50,96.50,96.69,97.88,99.00,99.00
Computer Vision,Image Classification,Image Classification,CIFAR-100,GPIPE,Percentage correct,TRUE,57.50,64.30,75.70,75.70,82.62,84.59,91.30,91.30
Computer Vision,Image Classification,Image Classification,ImageNet,GPIPE,Top 1 Accuracy,TRUE,0.70,,0.70,0.79,0.81,0.83,0.84,0.84
Computer Vision,Image Classification,Image Classification,STL-10,IIC,Percentage correct,TRUE,70.10,70.10,72.80,74.33,77.79,87.26,87.26,88.80
Computer Vision,Image Classification,Image Classification,MSRC-21 (per-class),Large FC CRF,Percentage correct,TRUE,,,,,,,,
Computer Vision,Image Classification,Image Classification,MSRC-21 (per-pixel),HCRF+CO,Percentage correct,TRUE,,,,,,,,
Computer Vision,Image Classification,Image Classification,iNaturalist,IncResNetV2 SE,Top 1 Accuracy,TRUE,0.67,,,,,0.67,0.67,0.67
Computer Vision,Object Detection,Object Detection,COCO,SNIPER,Bounding Box AP,TRUE,34.90,,,34.90,36.80,45.70,47.60,47.60
Computer Vision,Object Detection,Object Detection,PASCAL VOC 2007,SNIPER,MAP,TRUE,0.82,,0.82,0.82,0.82,0.84,0.87,0.87
Computer Vision,Object Detection,Object Detection,ImageNet Detection,Inception V1,MAP,TRUE,0.24,0.24,0.44,0.44,0.44,0.44,0.44,0.44
Computer Vision,Image Generation,Image Generation,CIFAR-10,PGGAN,Inception score,TRUE,5.34,,,,6.86,8.80,8.80,8.80
Computer Vision,Pose Estimation,Pose Estimation,MPII Human Pose,HRNet-32,PCKh-0.5,TRUE,0.82,,,0.82,0.91,0.92,0.92,0.92
Computer Vision,Pose Estimation,Pose Estimation,Leeds Sports Poses,Pyramid Residual Modules (PRMs),PCK,TRUE,0.91,,,,0.91,0.94,0.94,0.94
