Area,Parent Task,Task,Dataset,Best method name,Primary metric,Primary metric - is higher better?,Metric first reported value,Metric SOTA value in 2013,Metric SOTA value in 2014,Metric SOTA value in 2015,Metric SOTA value in 2016,Metric SOTA value in 2017,Metric SOTA value in 2018,Metric SOTA value in 2019,Papers all time,Papers in 2013,Papers in 2014,Papers in 2015,Papers in 2016,Papers in 2017,Papers in 2018,Papers in 2019,Papers with code all time,Papers with code in 2013,Papers with code in 2014,Papers with code in 2015,Papers with code in 2016,Papers with code in 2017,Papers with code in 2018,Papers with code in 2019
Natural Language Processing,Machine Translation,Machine Translation,WMT2014 English-French,Transformer Big + BT,BLEU score,TRUE,34.54,,37.5,37.5,39.92,41.4,45.6,45.6,23,0,5,0,5,5,6,2,21,0,5,0,4,4,6,2
Natural Language Processing,Machine Translation,Machine Translation,WMT2014 English-German,DeepL,BLEU score,TRUE,20.7,,,,26.3,28.9,29.3,29.7,22,0,0,0,5,7,8,2,20,0,0,0,4,6,8,2
Natural Language Processing,Machine Translation,Machine Translation,IWSLT2015 German-English,Transformer,BLEU score,TRUE,28.53,,28.53,28.53,30.4,34.44,34.44,34.44,15,0,1,1,4,5,4,0,15,0,1,1,4,5,4,0
Natural Language Processing,Machine Translation,Machine Translation,WMT2016 English-Romanian,ConvS2S BPE40k,BLEU score,TRUE,28.1,,,,28.9,29.88,29.88,29.88,7,0,0,0,3,2,2,0,6,0,0,0,2,2,2,0
Natural Language Processing,Machine Translation,Machine Translation,IWSLT2015 English-German,Transformer,BLEU score,TRUE,25.04,,,,25.04,28.23,28.23,28.23,7,0,0,0,1,4,2,0,7,0,0,0,1,4,2,0
Natural Language Processing,Machine Translation,Machine Translation,WMT2015 English-German,ByteNet,BLEU score,TRUE,22.8,,,22.8,26.26,26.26,26.26,26.26,4,0,0,1,2,1,0,0,4,0,0,1,2,1,0,0
Natural Language Processing,Machine Translation,Machine Translation,WMT2016 English-German,Attentional encoder-decoder + BPE,BLEU score,TRUE,34.2,,,,34.2,34.2,34.2,34.2,5,0,0,0,2,1,2,0,5,0,0,0,2,1,2,0
Natural Language Processing,Machine Translation,Machine Translation,WMT2016 German-English,Attentional encoder-decoder + BPE,BLEU score,TRUE,38.6,,,,38.6,38.6,38.6,38.6,5,0,0,0,2,1,2,0,5,0,0,0,2,1,2,0
Natural Language Processing,Machine Translation,Machine Translation,WMT2016 English-Russian,Attentional encoder-decoder + BPE,BLEU score,TRUE,26,,,,26,26,26,26,2,0,0,0,1,0,1,0,2,0,0,0,1,0,1,0
Natural Language Processing,Machine Translation,Machine Translation,WMT2016 Romanian-English,MLM pretraining,BLEU score,TRUE,33.3,,,,33.3,33.3,33.3,35.3,4,0,0,0,1,1,1,1,4,0,0,0,1,1,1,1
Natural Language Processing,Machine Translation,Machine Translation,WMT2014 German-English,Denoising autoencoders (non-autoregressive),BLEU score,TRUE,23.2,,,,,23.2,25.43,25.43,3,0,0,0,0,1,2,0,3,0,0,0,0,1,2,0
Natural Language Processing,Machine Translation,Machine Translation,WMT2016 English-Czech,Attentional encoder-decoder + BPE,BLEU score,TRUE,25.8,,,,25.8,25.8,25.8,25.8,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
Natural Language Processing,Machine Translation,Machine Translation,WMT 2014 EN-DE,universal transformer base,BLEU,TRUE,28.9,,,,,,28.9,28.9,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
Natural Language Processing,Machine Translation,Machine Translation,IWSLT2015 Thai-English,Seq-KD + Seq-Inter + Word-KD,BLEU score,TRUE,14.2,,,,14.2,14.2,14.2,14.2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
Natural Language Processing,Machine Translation,Machine Translation,WMT2015 English-Russian,C2-50k Segmentation,BLEU score,TRUE,20.9,,,20.9,20.9,20.9,20.9,20.9,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
Natural Language Processing,Machine Translation,Machine Translation,WMT2016 Czech-English,Attentional encoder-decoder + BPE,BLEU score,TRUE,31.4,,,,31.4,31.4,31.4,31.4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
Natural Language Processing,Machine Translation,Machine Translation,WMT2014 French-English,SMT + iterative backtranslation (unsupervised),BLEU score,TRUE,25.87,,,,,,25.87,25.87,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
Natural Language Processing,Machine Translation,Machine Translation,WMT2016 Russian-English,Attentional encoder-decoder + BPE,BLEU score,TRUE,28,,,,28,28,28,28,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
Natural Language Processing,Language Modelling,Language Modelling,Penn Treebank (Word Level),GPT-2,Test perplexity,FALSE,65.4,,,,64,47.69,46.54,35.76,18,0,0,0,3,4,7,4,16,0,0,0,3,4,5,4
Natural Language Processing,Language Modelling,Language Modelling,One Billion Word,Transformer-XL Large,PPL,FALSE,51.3,51.3,51.3,51.3,30,28,23.02,21.8,11,1,1,0,2,2,2,3,9,1,0,0,2,1,2,3
Natural Language Processing,Language Modelling,Language Modelling,WikiText-103,GPT-2,Test perplexity,FALSE,40.8,,,,37.2,37.2,18.7,17.48,9,0,0,0,2,0,5,2,7,0,0,0,2,0,3,2
Natural Language Processing,Language Modelling,Language Modelling,WikiText-2,GPT-2,Test perplexity,FALSE,52,,,,,40.68,39.14,18.34,10,0,0,0,0,4,3,3,9,0,0,0,0,4,2,3
Natural Language Processing,Language Modelling,Language Modelling,Hutter Prize,24-layer Transformer-XL,Bit per Character (BPC),FALSE,1.27,,,,1.24,1.08,1.06,0.99,7,0,0,0,2,2,2,1,4,0,0,0,1,1,1,1
Natural Language Processing,Language Modelling,Language Modelling,enwiki8,GPT-2,Bit per Character (BPC),FALSE,1.27,,,,1.24,1.24,1.06,0.93,8,0,0,0,4,1,1,2,4,0,0,0,2,0,0,2
Natural Language Processing,Language Modelling,Language Modelling,Text8,GPT-2,Bit per Character (BPC),FALSE,1.36,,,,1.27,1.19,1.13,0.98,8,0,0,0,4,1,1,2,6,0,0,0,3,1,0,2
Natural Language Processing,Language Modelling,Language Modelling,Penn Treebank (Character Level),Trellis Network,Bit per Character (BPC),FALSE,1.219,,,,1.214,1.19,1.158,1.158,6,0,0,0,2,1,3,0,3,0,0,0,1,0,2,0
