Area,Parent Task,Task,Dataset,Best method name,Primary metric
Natural Language Processing,Machine Translation,Machine Translation,WMT2014 English-French,Transformer Big + BT,BLEU score
Natural Language Processing,Machine Translation,Machine Translation,WMT2014 English-German,DeepL,BLEU score
Natural Language Processing,Machine Translation,Machine Translation,IWSLT2015 German-English,Transformer,BLEU score
Natural Language Processing,Machine Translation,Machine Translation,WMT2016 English-Romanian,ConvS2S BPE40k,BLEU score
Natural Language Processing,Machine Translation,Machine Translation,IWSLT2015 English-German,Transformer,BLEU score
Natural Language Processing,Machine Translation,Machine Translation,WMT2015 English-German,ByteNet,BLEU score
Natural Language Processing,Machine Translation,Machine Translation,WMT2016 English-German,Attentional encoder-decoder + BPE,BLEU score
Natural Language Processing,Machine Translation,Machine Translation,WMT2016 German-English,Attentional encoder-decoder + BPE,BLEU score
Natural Language Processing,Machine Translation,Machine Translation,WMT2016 English-Russian,Attentional encoder-decoder + BPE,BLEU score
Natural Language Processing,Machine Translation,Machine Translation,WMT2016 Romanian-English,MLM pretraining,BLEU score
Natural Language Processing,Machine Translation,Machine Translation,WMT2014 German-English,Denoising autoencoders (non-autoregressive),BLEU score
Natural Language Processing,Machine Translation,Machine Translation,WMT2016 English-Czech,Attentional encoder-decoder + BPE,BLEU score
Natural Language Processing,Machine Translation,Machine Translation,WMT 2014 EN-DE,universal transformer base,BLEU
Natural Language Processing,Machine Translation,Machine Translation,IWSLT2015 Thai-English,Seq-KD + Seq-Inter + Word-KD,BLEU score
Natural Language Processing,Machine Translation,Machine Translation,WMT2015 English-Russian,C2-50k Segmentation,BLEU score
Natural Language Processing,Machine Translation,Machine Translation,WMT2016 Czech-English,Attentional encoder-decoder + BPE,BLEU score
Natural Language Processing,Machine Translation,Machine Translation,WMT2014 French-English,SMT + iterative backtranslation (unsupervised),BLEU score
Natural Language Processing,Machine Translation,Machine Translation,WMT2016 Russian-English,Attentional encoder-decoder + BPE,BLEU score
Natural Language Processing,Language Modelling,Language Modelling,Sequential MNIST,Trellis Network,Accuracy
Natural Language Processing,Question Answering,Question Answering,SQuAD1.1,BERT (ensemble),EM
Natural Language Processing,Question Answering,Question Answering,SQuAD2.0,BERT + DAE + AoA (ensemble),EM
Natural Language Processing,Question Answering,Question Answering,CNN / Daily Mail,GA+MAGE (32),CNN
Natural Language Processing,Question Answering,Question Answering,WikiQA,HyperQA,MAP
Natural Language Processing,Question Answering,Question Answering,bAbi,QRN,Accuracy (trained on 10k)
Natural Language Processing,Question Answering,Question Answering,Children's Book Test,GPT-2,Accuracy-CN
Natural Language Processing,Question Answering,Question Answering,CoQA,BERT Large Augmented (single model),In-domain
Natural Language Processing,Question Answering,Question Answering,QASent,Attentive LSTM,MAP
Natural Language Processing,Question Answering,Question Answering,NarrativeQA,ConZNet,Rouge-L
Natural Language Processing,Question Answering,Question Answering,SemEvalCQA,HyperQA,P@1
Natural Language Processing,Question Answering,Question Answering,YahooCQA,HyperQA,P@1
Natural Language Processing,Question Answering,Question Answering,TriviaQA,MemoReader,EM
Natural Language Processing,Question Answering,Question Answering,MS MARCO,Masque Q&A Style,Rouge-L
Natural Language Processing,Question Answering,Question Answering,NewsQA,DecaProp,F1
Natural Language Processing,Question Answering,Question Answering,TrecQA,HyperQA,MAP
Natural Language Processing,Question Answering,Question Answering,WikiHop,CFC,Test
Natural Language Processing,Question Answering,Question Answering,Story Cloze Test,Finetuned Transformer LM,Accuracy
Natural Language Processing,Question Answering,Question Answering,WebQuestions,Memory Networks (ensemble),F1
Natural Language Processing,Question Answering,Question Answering,CliCR,Gated-Attention Reader,F1
Natural Language Processing,Question Answering,Question Answering,RACE,Finetuned Transformer LM,RACE-m
Natural Language Processing,Question Answering,Question Answering,Reverb,Weakly Supervised Embeddings,Accuracy
Natural Language Processing,Question Answering,Question Answering,MCTest-500,Parallel-Hierarchical,Accuracy
Natural Language Processing,Question Answering,Question Answering,Quora Question Pairs,BERT (single model),Accuracy
Natural Language Processing,Question Answering,Question Answering,QuAC,FlowQA (single model),F1
Natural Language Processing,Question Answering,Question Answering,Natural Questions,BERT-joint,F1 (Long)
Natural Language Processing,Question Answering,Question Answering,SimpleQuestions,Memory Networks (ensemble),F1
Natural Language Processing,Question Answering,Question Answering,MCTest-160,"syntax, frame, coreference, and word embedding features",Accuracy
Natural Language Processing,Sentiment Analysis,Sentiment Analysis,SST-2 Binary classification,MT-DNN,Accuracy
Natural Language Processing,Sentiment Analysis,Sentiment Analysis,SST-5 Fine-grained classification,EDD-LG (shared),Accuracy
Natural Language Processing,Sentiment Analysis,Sentiment Analysis,IMDb,ULMFiT,Accuracy
Natural Language Processing,Sentiment Analysis,Sentiment Analysis,MR,MEAN,Accuracy
Natural Language Processing,Sentiment Analysis,Sentiment Analysis,Amazon Review Full,DRNN,Accuracy
Natural Language Processing,Sentiment Analysis,Sentiment Analysis,Amazon Review Polarity,DRNN,Accuracy
Natural Language Processing,Sentiment Analysis,Sentiment Analysis,Multi-Domain Sentiment Dataset,Distributional Correspondence Indexing,DVD
Natural Language Processing,Sentiment Analysis,Sentiment Analysis,CR,Block-sparse LSTM,Accuracy
Natural Language Processing,Sentiment Analysis,Sentiment Analysis,SemEval,LSTMs+CNNs ensemble with multiple conv. ops ,F1-score
Natural Language Processing,Sentiment Analysis,Sentiment Analysis,MPQA,USE_T+DAN (w2v w.e.) ,Accuracy
Natural Language Processing,Sentiment Analysis,Sentiment Analysis,Sogou News,fastText,Accuracy
Natural Language Processing,Text Classification,Text Classification,Yahoo! Answers,DRNN,Accuracy
Natural Language Processing,Text Classification,Text Classification,Ohsumed,SGCN,Accuracy
Natural Language Processing,Text Classification,Text Classification,R52,SGCN,Accuracy
Natural Language Processing,Text Classification,Text Classification,20NEWS,SGCN,Accuracy
Natural Language Processing,Text Classification,Text Classification,R8,SGCN,Accuracy
Natural Language Processing,Text Classification,Text Classification,Sogou News,CCCapsNet,Accuracy
Natural Language Processing,Text Classification,Text Classification,IMDb,L MIXED,Accuracy
Natural Language Processing,Natural Language Inference,Natural Language Inference,SNLI,MT-DNN,% Test Accuracy
Natural Language Processing,Natural Language Inference,Natural Language Inference,MultiNLI,MT-DNN,Matched
Natural Language Processing,Natural Language Inference,Natural Language Inference,SciTail,MT-DNN,Accuracy
Natural Language Processing,Natural Language Inference,Natural Language Inference,V-SNLI,V-BiMPM,Accuracy
Natural Language Processing,Natural Language Inference,Natural Language Inference,Quora Question Pairs,aESIM,Accuracy
Natural Language Processing,Named Entity Recognition (NER),Named Entity Recognition (NER),CoNLL 2003 (English),CNN Large + fine-tune,F1
Natural Language Processing,Named Entity Recognition (NER),Named Entity Recognition (NER),Ontonotes v5 (English),Flair embeddings,F1
Natural Language Processing,Named Entity Recognition (NER),Named Entity Recognition (NER),JNLPBA,CollaboNet,F1
Natural Language Processing,Named Entity Recognition (NER),Named Entity Recognition (NER),BC5CDR,SciBERT (SciVocab),F1
Natural Language Processing,Named Entity Recognition (NER),Named Entity Recognition (NER),Long-tail emerging entities,Flair embeddings,F1
Natural Language Processing,Named Entity Recognition (NER),Named Entity Recognition (NER),SciERC,SciBERT (SciVocab),F1
Natural Language Processing,Named Entity Recognition (NER),Named Entity Recognition (NER),NCBI-disease,SciBERT (Base Vocab),F1
Natural Language Processing,Text Generation,Text Generation,EMNLP2017 WMT,LeakGAN,BLEU-2
Natural Language Processing,Text Generation,Text Generation,COCO Captions,LeakGAN,BLEU-2
Natural Language Processing,Text Generation,Text Generation,Chinese Poems,LeakGAN,BLEU-2
Natural Language Processing,Text Generation,Text Generation,CMU-SE,STWGAN-GP,BLEU-3
Natural Language Processing,Text Generation,Text Generation,DailyDialog,AEM+Attention,BLEU-1
Natural Language Processing,Text Generation,Text Generation,LDC2016E25,Graph2Seq,BLEU
Natural Language Processing,Dependency Parsing,Dependency Parsing,Penn Treebank,CVT + Multi-Task,UAS
Natural Language Processing,Dependency Parsing,Dependency Parsing,GENIA - LAS,BiLSTM-CRF,F1
Natural Language Processing,Dependency Parsing,Dependency Parsing,GENIA - UAS,BiLSTM-CRF,F1
Natural Language Processing,Relation Extraction,Relation Extraction,TACRED,TRE,F1
Natural Language Processing,Relation Extraction,Relation Extraction,ChemProt,SciBERT (SciVocab),F1
Natural Language Processing,Relation Extraction,Relation Extraction,SciERC,SciBERT (SciVocab),F1
Natural Language Processing,Semantic Textual Similarity,Semantic Textual Similarity,SentEval,GenSen,MRPC
Natural Language Processing,Semantic Textual Similarity,Semantic Textual Similarity,STS Benchmark,USE_T,Pearson Correlation
Natural Language Processing,Part-Of-Speech Tagging,Part-Of-Speech Tagging,Penn Treebank,Meta BiLSTM,Accuracy
Natural Language Processing,Part-Of-Speech Tagging,Part-Of-Speech Tagging,UD,Adversarial Bi-LSTM,Avg accuracy
Natural Language Processing,Part-Of-Speech Tagging,Part-Of-Speech Tagging,Social media,GATE,Accuracy
Natural Language Processing,Semantic Parsing,Semantic Parsing,spider,Exact Set Matching,Accuracy
Natural Language Processing,Text Classification,Document Classification,WOS-11967,RMDL,Accuracy
Natural Language Processing,Text Classification,Document Classification,WOS-46985,RMDL,Accuracy
Natural Language Processing,Text Classification,Document Classification,WOS-5736,RMDL,Accuracy
Natural Language Processing,Text Classification,Document Classification,Reuters-21578,RMDL,Accuracy
Natural Language Processing,Text Classification,Document Classification,IMDb,RMDL,Accuracy
Natural Language Processing,Text Classification,Document Classification,20NEWS,RMDL,Accuracy
Natural Language Processing,Semantic Role Labeling,Semantic Role Labeling,OntoNotes,BiLSTM-Span (Ensemble),F1
Natural Language Processing,Semantic Role Labeling,Semantic Role Labeling,CoNLL 2005,BiLSTM-Span (Ensemble),F1
Natural Language Processing,Coreference Resolution,Coreference Resolution,CoNLL 2012,"(Lee et al., 2017)+ELMo",Avg F1
Natural Language Processing,Text Summarization,Text Summarization,GigaWord,FTSum_g,ROUGE-1
Natural Language Processing,Text Summarization,Text Summarization,DUC 2004 Task 1,EndDec+WFE,ROUGE-1
Natural Language Processing,Word Sense Disambiguation,Word Sense Disambiguation,SensEval 2,"SemCor+WNGT, vocabulary reduced, ensemble",F1
Natural Language Processing,Word Sense Disambiguation,Word Sense Disambiguation,SemEval 2013 Task 12,"SemCor+WNGT, vocabulary reduced, ensemble",F1
Natural Language Processing,Word Sense Disambiguation,Word Sense Disambiguation,SensEval 3 Task 1,"LSTMLP (T:SemCor, U:1K)",F1
Natural Language Processing,Word Sense Disambiguation,Word Sense Disambiguation,SemEval 2007 Task 7,"SemCor+WNGT, vocabulary reduced, ensemble",F1
Natural Language Processing,Word Sense Disambiguation,Word Sense Disambiguation,SemEval 2007 Task 17,"SemCor+WNGT, vocabulary reduced, ensemble",F1
Natural Language Processing,Word Sense Disambiguation,Word Sense Disambiguation,Knowledge-based:,WSD-TM,All
Natural Language Processing,Word Sense Disambiguation,Word Sense Disambiguation,SemEval 2015 Task 13,"SemCor+WNGT, vocabulary reduced, ensemble",F1
Natural Language Processing,Entity Linking,Entity Linking,WebQSP-WD,VCG,F1
Natural Language Processing,Text Summarization,Document Summarization,CNN / Daily Mail,BERTSUM+Transformer,ROUGE-1
Natural Language Processing,Relation Classification,Relation Classification,SemEval-2010 Task 8,TRE,F1
Natural Language Processing,Text Classification,Sentence Classification,SciCite,SciBERT,F1
Natural Language Processing,Text Classification,Sentence Classification,ACL-ARC,Structural-scaffolds,F1
Natural Language Processing,Text Classification,Sentence Classification,PubMed 20k RCT,Hierarchical Neural Networks,F1
Natural Language Processing,Text Classification,Sentence Classification,Paper Field,SciBERT (SciVocab),F1
Natural Language Processing,Text Classification,Sentence Classification,ScienceCite,SciBERT (SciVocab),F1
Natural Language Processing,Dialogue,Dialogue Generation,Ubuntu Dialogue (Activity),MrRNN Act.-Ent.,F1
Natural Language Processing,Dialogue,Dialogue Generation,Ubuntu Dialogue (Entity),MrRNN Act.-Ent.,F1
Natural Language Processing,Dialogue,Dialogue Generation,Ubuntu Dialogue (Tense),MrRNN Act.-Ent.,Accuracy
Natural Language Processing,Dialogue,Dialogue Generation,Ubuntu Dialogue (Cmd),MrRNN Act.-Ent.,Accuracy
Natural Language Processing,Dialogue,Dialogue Generation,Twitter Dialogue (Noun),MrRNN Act.-Ent.,F1
