Area,Parent Task,Task,Dataset,Best method name,Primary metric,Metric first reported value,2013,2014,2015,2016,2017,2018,2019,Metric first reported value scaled,2013 scaled,2014 scaled,2015 scaled,2016 scaled,2017 scaled,2018 scaled,2019 scaled
Computer Vision,Image Classification,Image Classification,MNIST,RMDL,Percentage error,0.2,0.2,0.2,0.2,0.2,0.2,0.18,0.18,0.04,0.00,0.00,0.79,0.84,0.06,0.05,0.04
Computer Vision,Image Classification,Image Classification,SVHN,WRN + fixup init + mixup + cutout,Percentage error,2.8,2.16,1.92,1.69,1.59,1.54,1.54,1.4,0.69,100.00,8.31,8.62,8.15,0.47,0.47,0.34
Computer Vision,Image Classification,Image Classification,Fashion-MNIST,Random Erasing,Percentage error,3.65,,,,,3.65,3.65,3.65,0.90,,,,,1.12,1.12,0.90
Computer Vision,Image Classification,Image Classification,MultiMNIST,CapsNet,Percentage error,5.2,,,,,5.2,5.2,5.2,1.28,,,,,1.60,1.60,1.28
Computer Vision,Image Generation,Image Generation,LSUN Bedroom 256 x 256,COCO-GAN,FID,9.5,,,,,8.34,8.34,6.95,2.35,,,,,2.58,2.58,1.72
Computer Vision,Image Generation,Image Generation,CelebA-HQ 1024x1024,StyleGAN,FID,7.3,,,,,7.3,5.06,5.06,1.80,,,,,2.26,1.56,1.25
Computer Vision,Image Generation,Image Generation,CAT 256x256,RaSGAN,FID,155.46,,,,,155.46,32.11,32.11,38.47,,,,,48.16,9.94,7.94
Computer Vision,Image Generation,Image Generation,FFHQ,StyleGAN,FID,8.04,,,,,8.04,4.4,4.4,1.98,,,,,2.48,1.36,1.08
Computer Vision,Optical Flow Estimation,Optical Flow Estimation,Sintel-clean,PWC-Net,Average End-Point Error,6.64,,,,6.64,6.64,3.45,3.45,1.64,,,,34.68,2.05,1.06,0.85
Computer Vision,Optical Flow Estimation,Optical Flow Estimation,Sintel-final,PWC-Net,Average End-Point Error,8.36,,,,8.36,8.36,4.6,4.6,2.06,,,,43.72,2.58,1.42,1.13
Computer Vision,Image Generation,Image-to-Image Translation,RaFD,StarGAN,Classification Error,0.04,,,,0.04,0.02,0.02,0.02,0.00,,,,0.00,0.00,0.00,0.00
Computer Vision,Image Reconstruction,Image Reconstruction,Edge-to-Shoes,PI-REC,FID,0.02,,,,,,,0.02,0.00,,,,,,,0.00
Computer Vision,Image Reconstruction,Image Reconstruction,Edge-to-Handbags,PI-REC,FID,0.07,,,,,,,0.07,0.01,,,,,,,0.01
Computer Vision,Pose Estimation,3D Human Pose Estimation,Human3.6M,Fully supervised EpipolarPose,Average 3D Error,88.39,,,,,64.9,59.9,51.8,21.87,,,,,20.10,18.55,12.81
Computer Vision,Pose Estimation,3D Human Pose Estimation,CHALL H80K,ResNet,MPJPE,55.3,,,,,,55.3,55.3,13.68,,,,,,17.13,13.68
Computer Vision,Facial Recognition and Modelling,Face Alignment,AFLW2000-3D,2DASL,Mean NME ,0.05,,,0.05,0.05,0.04,0.04,0.04,0.01,,,0.00,0.05,0.01,0.01,0.00
Computer Vision,Facial Recognition and Modelling,Face Alignment,300W,DAN-Menpo + bounding box diagonal normalization,Mean Error Rate,1.42,,,,,1.42,1.42,1.42,0.35,,,,,0.43,0.43,0.35
Computer Vision,Facial Recognition and Modelling,Face Alignment,AFLW2000,Nonlinear 3D Face Morphable Model,Error rate,4.7,,,,,,4.7,4.7,1.16,,,,,,1.45,1.16
Computer Vision,Facial Recognition and Modelling,Face Alignment,AFLW-LFPA,FPN,Mean NME ,0.04,,,,,0.04,0.03,0.03,0.00,,,,,0.01,0.00,0.00
Computer Vision,Autonomous Vehicles,Pedestrian Detection,Caltech,CSP + CityPersons dataset,Reasonable Miss Rate,20.9,,20.9,9.68,7.3,4,4,3.8,5.17,,100.00,50.63,38.15,1.23,1.23,0.94
Computer Vision,Autonomous Vehicles,Pedestrian Detection,CityPersons,CSP (with offset) + ResNet-50,Reasonable MR^-2,14.8,,,,,13.2,12,11,3.66,,,,,4.08,3.71,2.72
Computer Vision,Video,Video Generation,TrailerFaces,PG-SWGAN-3D,FID,404.1,,,,,,,404.1,100.00,,,,,,,100.00
Computer Vision,Hand,Hand Pose Estimation,NYU Hands,V2V-PoseNet,Average 3D Error,12.7,,,,,8.42,8.42,8.42,3.14,,,,,2.60,2.60,2.08
Computer Vision,Hand,Hand Pose Estimation,MSRA Hands,Dense Pixel-wise Estimation,Average 3D Error,9.8,,,,,7.2,7.2,7.2,2.42,,,,,2.22,2.22,1.78
Computer Vision,Hand,Hand Pose Estimation,ICVL Hands,V2V-PoseNet,Average 3D Error,7.5,,,,,6.28,6.28,6.28,1.85,,,,,1.94,1.94,1.55
Computer Vision,Hand,Hand Pose Estimation,HANDS 2017,V2V-PoseNet,Average 3D Error,9.95,,,,,9.95,9.95,9.95,2.46,,,,,3.08,3.08,2.46
Computer Vision,Crowds,Crowd Counting,UCF CC 50,Cascaded-MTL,MAE,322.8,,,,,322.8,322.8,322.8,79.88,,,,,100.00,100.00,79.88
Computer Vision,Crowds,Crowd Counting,ShanghaiTech A,Cascaded-MTL,MAE,101.3,,,,,101.3,101.3,101.3,25.06,,,,,31.38,31.38,25.06
Computer Vision,Crowds,Crowd Counting,ShanghaiTech B,Cascaded-MTL,MAE,20,,,,,20,20,20,4.94,,,,,6.19,6.19,4.94
Computer Vision,Facial Recognition and Modelling,3D Face Reconstruction,Florence,PRN,Mean NME ,0.06,,,0.06,0.06,0.05,0.04,0.04,0.01,,,0.05,0.11,0.01,0.01,0.00
Computer Vision,Facial Recognition and Modelling,3D Face Reconstruction,AFLW2000-3D,PRN,Mean NME ,0.05,,,0.05,0.05,0.05,0.04,0.04,0.01,,,0.00,0.05,0.01,0.01,0.00
Computer Vision,Facial Recognition and Modelling,Face Generation,CelebA,COCO-GAN,FID,7.3,,,,,7.3,7.3,5.74,1.80,,,,,2.26,2.26,1.42
Computer Vision,Gaze Estimation,Gaze Estimation,MPII Gaze,RT-GENE 4 model ensemble,Angular Error,4.3,,,,,,4.3,4.3,1.06,,,,,,1.33,1.06
Computer Vision,Gaze Estimation,Gaze Estimation,RT-GENE,RT-GENE 4 model ensemble,Angular Error,7.7,,,,,,7.7,7.7,1.90,,,,,,2.38,1.90
Computer Vision,Gaze Estimation,Gaze Estimation,UT Multi-view,RT-GENE 4 model ensemble,Angular Error,5.1,,,,,,5.1,5.1,1.26,,,,,,1.57,1.26
Computer Vision,Facial Recognition and Modelling,Facial Landmark Detection,300W,SAN GT,NME,6.3,,,,,6.3,3.98,3.98,1.55,,,,,1.95,1.23,0.98
Computer Vision,Facial Recognition and Modelling,Facial Landmark Detection,AFLW-Full,SAN,Mean NME ,1.91,,,,,,1.91,1.91,0.47,,,,,,0.59,0.47
Computer Vision,Facial Recognition and Modelling,Facial Landmark Detection,AFLW-Front,SAN,Mean NME ,1.85,,,,,,1.85,1.85,0.45,,,,,,0.57,0.45
Computer Vision,Object Localization,Weakly-Supervised Object Localization, CUB-200-2011,SPG,Top-1 Error Rate,53.36,,,,,,53.36,53.36,13.20,,,,,,16.53,13.20
Computer Vision,Object Localization,Weakly-Supervised Object Localization,ILSVRC 2015,SPG,Top-1 Error Rate,51.4,,,,,,51.4,51.4,12.72,,,,,,15.92,12.72
