Area,Parent Task,Task,Dataset,Best method name,Primary metric,Metric first reported value,2013,2014,2015,2016,2017,2018,2019,Metric first reported value scaled,2013 scaled,2014 scaled,2015 scaled,2016 scaled,2017 scaled,2018 scaled,2019 scaled
Natural Language Processing,Machine Translation,Machine Translation,WMT2014 English-French,Transformer Big + BT,BLEU score,34.54,,37.5,37.5,39.92,41.4,45.6,45.6,34.72,,40.36,38.09,40.65,42.25,45.86,45.86
Natural Language Processing,Machine Translation,Machine Translation,WMT2014 English-German,DeepL,BLEU score,20.7,,,,26.3,28.9,29.3,29.7,20.75,,,,26.68,29.45,29.4,29.81
Natural Language Processing,Machine Translation,Machine Translation,IWSLT2015 German-English,Transformer,BLEU score,28.53,,28.53,28.53,30.4,34.44,34.44,34.44,28.65,,30.61,28.87,30.89,35.12,34.59,34.59
Natural Language Processing,Machine Translation,Machine Translation,WMT2016 English-Romanian,ConvS2S BPE40k,BLEU score,28.1,,,,28.9,29.88,29.88,29.88,28.22,,,,29.35,30.45,29.99,29.99
Natural Language Processing,Machine Translation,Machine Translation,IWSLT2015 English-German,Transformer,BLEU score,25.04,,,,25.04,28.23,28.23,28.23,25.13,,,,25.39,28.76,28.32,28.32
Natural Language Processing,Machine Translation,Machine Translation,WMT2015 English-German,ByteNet,BLEU score,22.8,,,22.8,26.26,26.26,26.26,26.26,22.87,,,22.99,26.64,26.74,26.33,26.33
Natural Language Processing,Machine Translation,Machine Translation,WMT2016 English-German,Attentional encoder-decoder + BPE,BLEU score,34.2,,,,34.2,34.2,34.2,34.2,34.38,,,,34.78,34.88,34.35,34.35
Natural Language Processing,Machine Translation,Machine Translation,WMT2016 German-English,Attentional encoder-decoder + BPE,BLEU score,38.6,,,,38.6,38.6,38.6,38.6,38.82,,,,39.3,39.38,38.79,38.79
Natural Language Processing,Machine Translation,Machine Translation,WMT2016 English-Russian,Attentional encoder-decoder + BPE,BLEU score,26,,,,26,26,26,26,26.1,,,,26.37,26.48,26.07,26.07
Natural Language Processing,Machine Translation,Machine Translation,WMT2016 Romanian-English,MLM pretraining,BLEU score,33.3,,,,33.3,33.3,33.3,35.3,33.47,,,,33.86,33.95,33.44,35.46
Natural Language Processing,Machine Translation,Machine Translation,WMT2014 German-English,Denoising autoencoders (non-autoregressive),BLEU score,23.2,,,,,23.2,25.43,25.43,23.27,,,,,23.61,25.49,25.49
Natural Language Processing,Machine Translation,Machine Translation,WMT2016 English-Czech,Attentional encoder-decoder + BPE,BLEU score,25.8,,,,25.8,25.8,25.8,25.8,25.9,,,,26.17,26.27,25.87,25.87
Natural Language Processing,Machine Translation,Machine Translation,WMT 2014 EN-DE,universal transformer base,BLEU,28.9,,,,,,28.9,28.9,29.03,,,,,,29,29
Natural Language Processing,Machine Translation,Machine Translation,IWSLT2015 Thai-English,Seq-KD + Seq-Inter + Word-KD,BLEU score,14.2,,,,14.2,14.2,14.2,14.2,14.18,,,,14.27,14.39,14.15,14.15
Natural Language Processing,Machine Translation,Machine Translation,WMT2015 English-Russian,C2-50k Segmentation,BLEU score,20.9,,,20.9,20.9,20.9,20.9,20.9,20.95,,,21.04,21.14,21.25,20.92,20.92
Natural Language Processing,Machine Translation,Machine Translation,WMT2016 Czech-English,Attentional encoder-decoder + BPE,BLEU score,31.4,,,,31.4,31.4,31.4,31.4,31.55,,,,31.91,32.01,31.52,31.52
Natural Language Processing,Machine Translation,Machine Translation,WMT2014 French-English,SMT + iterative backtranslation (unsupervised),BLEU score,25.87,,,,,,25.87,25.87,25.97,,,,,,25.94,25.94
